"Time","flask_nosql"
2024-03-03 18:12:30,0.000323
2024-03-03 18:12:45,0.000338
2024-03-03 18:13:00,0.000337
2024-03-03 18:13:15,0.000347
2024-03-03 18:13:30,0.000336
2024-03-03 18:13:45,0.000340
2024-03-03 18:14:00,0.000317
2024-03-03 18:14:15,0.000310
2024-03-03 18:14:30,0.166
2024-03-03 18:14:45,0.310
2024-03-03 18:15:00,0.306
2024-03-03 18:15:15,0.260
2024-03-03 18:15:30,0.0946
2024-03-03 18:15:45,0.000347
2024-03-03 18:16:00,0.000340
2024-03-03 18:16:15,0.000360
2024-03-03 18:16:30,0.000345
2024-03-03 18:16:45,0.000358
2024-03-03 18:17:00,0.000349
2024-03-03 18:17:15,0.000361
2024-03-03 18:17:30,0.000345
2024-03-03 18:17:45,0.000345
2024-03-03 18:18:00,0.000334
2024-03-03 18:18:15,0.000342
2024-03-03 18:18:30,0.000336
2024-03-03 18:18:45,0.000326
2024-03-03 18:19:00,0.000304
2024-03-03 18:19:15,0.000312
2024-03-03 18:19:30,0.000301
2024-03-03 18:19:45,0.110
2024-03-03 18:20:00,0.111
2024-03-03 18:20:15,0.111
2024-03-03 18:20:30,0.109
2024-03-03 18:20:45,0.000296
2024-03-03 18:21:00,0.000290
2024-03-03 18:21:15,0.000296
2024-03-03 18:21:30,0.000280
2024-03-03 18:21:45,0.000312
2024-03-03 18:22:00,0.000318
2024-03-03 18:22:15,0.000344
2024-03-03 18:22:30,0.000348
2024-03-03 18:22:45,0.000354
2024-03-03 18:23:00,0.000354
2024-03-03 18:23:15,0.000364
2024-03-03 18:23:30,0.000365
2024-03-03 18:23:45,0.00587
2024-03-03 18:24:00,0.00606
2024-03-03 18:24:15,0.00582
2024-03-03 18:24:30,0.00312
2024-03-03 18:24:45,0.000349
2024-03-03 18:25:00,0.000345
2024-03-03 18:25:15,0.000358
2024-03-03 18:25:30,0.000346
2024-03-03 18:25:45,0.000354
2024-03-03 18:26:00,0.0583
2024-03-03 18:26:15,0.0610
2024-03-03 18:26:30,0.0630
2024-03-03 18:26:45,0.0639
2024-03-03 18:27:00,0.000361
2024-03-03 18:27:15,0.000359
2024-03-03 18:27:30,0.000337
2024-03-03 18:27:45,0.000350
2024-03-03 18:28:00,0.000347
2024-03-03 18:28:15,0.000343
2024-03-03 18:28:30,0.000333
2024-03-03 18:28:45,0.000316
2024-03-03 18:29:00,0.0282
2024-03-03 18:29:15,0.215
2024-03-03 18:29:30,0.303
2024-03-03 18:29:45,0.305
2024-03-03 18:30:00,0.207
2024-03-03 18:30:15,0.0274
2024-03-03 18:30:30,0.000334
2024-03-03 18:30:45,0.000350
2024-03-03 18:31:00,0.000336
2024-03-03 18:31:15,0.000351
2024-03-03 18:31:30,0.000348
2024-03-03 18:31:45,0.000354
2024-03-03 18:32:00,0.000343
2024-03-03 18:32:15,0.000347
2024-03-03 18:32:30,0.000328
2024-03-03 18:32:45,0.000346
2024-03-03 18:33:00,0.000333
