"Time","mongo"
2024-03-03 18:26:45,240488448
2024-03-03 18:27:00,240492544
2024-03-03 18:27:15,240750592
2024-03-03 18:27:30,240586752
2024-03-03 18:27:45,240640000
2024-03-03 18:28:00,240517120
2024-03-03 18:28:15,240533504
2024-03-03 18:28:30,238039040
2024-03-03 18:28:45,240549888
2024-03-03 18:29:00,238161920
2024-03-03 18:29:15,238174208
2024-03-03 18:29:30,240345088
2024-03-03 18:29:45,240545792
2024-03-03 18:30:00,240746496
2024-03-03 18:30:15,240885760
2024-03-03 18:30:30,240910336
2024-03-03 18:30:45,240914432
2024-03-03 18:31:00,240525312
2024-03-03 18:31:15,239284224
2024-03-03 18:31:30,239132672
2024-03-03 18:31:45,239140864
2024-03-03 18:32:00,239247360
2024-03-03 18:32:15,239267840
2024-03-03 18:32:30,239108096
2024-03-03 18:32:45,239136768
2024-03-03 18:33:00,239050752
