"Time","fastapi_graph"
2024-03-03 18:11:15,0.000996
2024-03-03 18:11:30,0.0106
2024-03-03 18:11:45,0.0105
2024-03-03 18:12:00,0.0107
2024-03-03 18:12:15,0.0107
2024-03-03 18:12:30,0.00109
2024-03-03 18:12:45,0.00110
2024-03-03 18:13:00,0.00112
2024-03-03 18:13:15,0.00111
2024-03-03 18:13:30,0.00111
2024-03-03 18:13:45,0.00107
2024-03-03 18:14:00,0.00103
2024-03-03 18:14:15,0.000990
2024-03-03 18:14:30,0.000958
2024-03-03 18:14:45,0.000963
2024-03-03 18:15:00,0.000988
2024-03-03 18:15:15,0.0367
2024-03-03 18:15:30,0.0376
2024-03-03 18:15:45,0.0372
2024-03-03 18:16:00,0.0306
2024-03-03 18:16:15,0.00108
2024-03-03 18:16:30,0.00109
2024-03-03 18:16:45,0.00110
2024-03-03 18:17:00,0.00108
2024-03-03 18:17:15,0.00109
2024-03-03 18:17:30,0.00109
2024-03-03 18:17:45,0.00110
2024-03-03 18:18:00,0.00110
2024-03-03 18:18:15,0.00109
2024-03-03 18:18:30,0.00105
2024-03-03 18:18:45,0.00101
2024-03-03 18:19:00,0.000985
2024-03-03 18:19:15,0.000978
2024-03-03 18:19:30,0.000985
2024-03-03 18:19:45,0.00101
2024-03-03 18:20:00,0.306
2024-03-03 18:20:15,0.649
2024-03-03 18:20:30,1.03
2024-03-03 18:20:45,1.18
2024-03-03 18:21:00,0.825
2024-03-03 18:21:15,0.452
2024-03-03 18:21:30,0.0892
2024-03-03 18:21:45,0.00102
2024-03-03 18:22:00,0.00109
2024-03-03 18:22:15,0.00112
2024-03-03 18:22:30,0.00114
2024-03-03 18:22:45,0.00110
2024-03-03 18:23:00,0.00110
2024-03-03 18:23:15,0.00111
2024-03-03 18:23:30,0.00111
2024-03-03 18:23:45,0.00979
2024-03-03 18:24:00,0.00966
2024-03-03 18:24:15,0.00965
2024-03-03 18:24:30,0.00566
2024-03-03 18:24:45,0.00111
2024-03-03 18:25:00,0.00110
2024-03-03 18:25:15,0.00110
2024-03-03 18:25:30,0.00111
2024-03-03 18:25:45,0.00110
2024-03-03 18:26:00,0.00106
2024-03-03 18:26:15,0.0104
2024-03-03 18:26:30,0.0103
2024-03-03 18:26:45,0.0104
2024-03-03 18:27:00,0.0103
2024-03-03 18:27:15,0.00109
2024-03-03 18:27:30,0.00109
2024-03-03 18:27:45,0.00110
2024-03-03 18:28:00,0.00112
2024-03-03 18:28:15,0.00112
2024-03-03 18:28:30,0.00108
2024-03-03 18:28:45,0.00101
2024-03-03 18:29:00,0.000960
2024-03-03 18:29:15,0.000934
2024-03-03 18:29:30,0.000947
2024-03-03 18:29:45,0.000969
2024-03-03 18:30:00,0.0383
2024-03-03 18:30:15,0.0375
2024-03-03 18:30:30,0.0380
2024-03-03 18:30:45,0.00130
2024-03-03 18:31:00,0.00107
2024-03-03 18:31:15,0.00106
2024-03-03 18:31:30,0.00105
2024-03-03 18:31:45,0.00105
2024-03-03 18:32:00,0.00105
2024-03-03 18:32:15,0.00105
2024-03-03 18:32:30,0.00105
2024-03-03 18:32:45,0.00105
2024-03-03 18:33:00,0.00105
